,Ticker,Name,Exchange
156,AUDSAR=X,AUD/SAR,CCY
157,AZNGBP=X,AZN/GBP,CCY
158,AUDLKR=X,AUD/LKR,CCY
159,AEDLKR=X,AED/LKR,CCY
160,AEDHUF=X,AED/HUF,CCY
161,AUDGTQ=X,AUD/GTQ,CCY
162,AEDEUR=X,AED/EUR,CCY
163,AUDXDR=X,AUD/XDR,CCY
164,AEDJPY=X,AED/JPY,CCY
165,AEDINR=X,AED/INR,CCY
166,AUDHUF=X,AUD/HUF,CCY
167,AMD=X,USD/AMD,CCY
168,AUDRSD=X,AUD/RSD,CCY
169,AEDMUR=X,AED/MUR,CCY
170,AUDPYG=X,AUD/PYG,CCY
171,ARSAUD=X,ARS/AUD,CCY
172,ARSJPY=X,ARS/JPY,CCY
173,AOAGBP=X,AOA/GBP,CCY
174,AUDHRK=X,AUD/HRK,CCY
175,CNY=X,USD/CNY,CCY
176,AUDXPF=X,AUD/XPF,CCY
177,29134331=X,,
178,ARSBOB=X,ARS/BOB,CCY
179,EURBMD=X,EUR/BMD,CCY
180,AWGCHF=X,AWG/CHF,CCY
181,ANGSRD=X,ANG/SRD,CCY
182,ARSCAD=X,ARS/CAD,CCY
183,ARS=X,USD/ARS,CCY
184,AUDPHP=X,AUD/PHP,CCY
185,ANG=X,USD/ANG,CCY
186,AEDZAR=X,AED/ZAR,CCY
187,ARSEUR=X,ARS/EUR,CCY
188,IACWE.PA,SPDR ACWE INAV,PAR
189,AED=X,USD/AED,CCY
190,AUDJOD=X,AUD/JOD,CCY
191,EUR-BZD.F,EUR-BZD.F,
192,AUKOT.SW,AUKOT.SW,EBS
193,AEDEGP=X,UAE Dirham (b) vs Egyptian Poun,CCY
194,AUDTJS=X,AUD/TJS,CCY
195,EUR-ZMK.F,EUR-ZMK.F,
196,AWGEUR=X,AWG/EUR,CCY
197,ANGCAD=X,ANG/CAD,CCY
198,AUDPKR=X,AUD/PKR,CCY
199,AEDJOD=X,AED/JOD,CCY
200,ARSTHB=X,ARS/THB,CCY
201,EURHRK=X,EUR/HRK,CCY
